                 文献类型                                         全部作者                                                                                                                               作者单位                                                                标题                 来源                                                                                           关键字                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                摘要    年份
474   Journal Article                                         郑丽梅;                                                                                                                         阜阳师范大学文学院;                                                论《四库全书总目》杂事小说的善本标准               晋图学刊                                                                             善本;古籍版本学;《四库全书总目》                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              《四库全书总目》蕴含着四库馆臣的小说思想，主要体现在其小说善本观上。在文献地位上，四库中的杂事小说善本不同于其他善本，杂事小说之外的古籍善本一般是其他版本的底本，四库总目中的杂事小说善本则是史学的校本、补充本。当一个杂事小说同时满足了记述近实、其论近正和材博言简三大善本标准时，那么其再也不是四库馆臣笔下的“小说”，而更像是一部庞大的纪事体史书，这传达出四库馆臣务实求真以有裨于史的小说思想。      
475   Journal Article                                     张启阳;胡灿红;                                                                                                   南京中医药大学第三临床医学院;南京中医药大学附属中西医结合医院;                                  基于CiteSpace对黄芪桂枝五物汤研究热点及趋势的可视化分析           实用中医内科杂志                                                                  黄芪桂枝五物汤;CiteSpace;可视化分析;文献计量                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                目的基于CiteSpace软件对黄芪桂枝五物汤的研究热点与趋势进行可视化分析。方法：检索中国知网2003年1月—2023年4月发表的关于黄芪桂枝五物汤相关研究文献，对发文量、作者、机构和关键词进行可视化分析并对研究热点与研究趋势进行讨论。结果：经筛选共纳入相关文献1767篇，近20年黄芪桂枝五物汤相关文献发文量呈波动性上升；相关研究领域共形成8个主要的研究团队；主要研究机构为高校及其附属医院，不同机构间缺乏合作；黄芪桂枝五物汤被广泛用于糖尿病周围神经病变、奥沙利铂神经毒性、脑梗死、类风湿关节炎等疾病的防治。结论：黄芪桂枝五物汤联合针灸治疗各种疾病相关的神经功能受损是目前的热门研究，基于网络药理学、分子对接探究其作用机制成为发展趋势。黄芪桂枝五物汤传承发展张仲景学术思想、临床应用广泛、实验研究活跃，具有较好发展前景，值得进一步探索。      
476   Journal Article                                         南江涛;                                                                                                                         首都师范大学文学院;                                                       赵尊岳致徐乃昌书札考释              图书馆杂志                                                                           赵尊岳;徐乃昌;上海图书馆;书札;词籍                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             赵尊岳是近代著名词人，对明代词籍整理贡献卓著。徐乃昌是近代著名藏书家，于女性词籍汇刻整理用力甚勤。上海图书馆所藏“徐乃昌藏札”中，有赵尊岳来书24通。结合《徐乃昌日记》《赵凤昌藏札》等史料，对24通书札按照时间先后进行史实考释，通过片段缀合还原赵、徐二人交往的情形，借此展现近代词籍编纂出版史细节。      
477   Journal Article                                      赵发珍;刘艳;                                                                                                                    兰州大学图书馆;江西省图书馆;                                       图书馆阅读推广数字化转型：内涵特征、行动框架与实现路径              图书馆杂志                                                                          阅读推广;数字化转型;转型框架;数字治理                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            加快推进图书馆阅读推广数字化转型，是应对时代挑战并赋能中国式现代化的必然选择。图书馆阅读推广数字化转型是将数字技术融入到阅读推广领域，并推动图书馆阅读推广全方位创新与变革，具有转型发展的复杂性、长期性；转型目标及过程的阶段性；转型结果的价值性等特点。同时运用系统思维方法从“谁来转”“如何转”“转什么”“转去哪”四个维度，构建图书馆阅读推广数字化转型的行动框架。最后提出重视阅读推广数字化转型的顶层制度设计与系统规划；建立数字生态共同体，强化阅读推广主体间的协同共进；立足智慧图书馆发展规模和阶段，实行差异化转型模式等路径。      
478   Journal Article                                      张冰天;沈骑;                                                                                             同济大学外国语学院;上海工程技术大学外国语学院;语言规划与全球治理研究中心;                                                论中文在世界科技竞争中的功能及影响力  新疆师范大学学报(哲学社会科学版)                                                                        中文;语言功能;科技领域;科技竞争;语言规划                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       当今世界主要大国的科技竞争愈发激烈，科技领域的语言竞争和语言问题日益凸显。目前，我国对科技领域语言问题的探讨不够充分，对中文在世界科技领域的语言功能及影响力的相关研究有待拓展和深化。文本借鉴语言功能分类理论，尝试建立世界科技竞争中的语言功能分析框架，归纳语言功能参数，基于对科学网（Web of Science）近20年收录的中文科技成果数据进行文献计量分析，从三个层面、九个维度总结、分析和讨论中文在世界科技竞争中的语言功能发挥现状及成因，并针对如何提升中文在世界科技竞争中的影响力提出语言规划建议。      
479   Journal Article                                   周力虹;李平;王迪;                                                                                                                武汉大学信息管理学院;武汉大学图书馆;                        基于业务流程管理的高校图书馆数字学术服务提升路径研究——以某“双一流”大学图书馆为例             图书情报知识                                                                高校图书馆;数字学术;数字学术服务;业务流程管理;图书馆服务                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    [目的/意义]在大数据、人工智能、区块链等信息技术飞速发展的时代背景下，开展数字学术服务成为高校图书馆发展的主要趋势之一。本文以某“双一流”大学图书馆为例，对我国高校图书馆数字学术服务流程进行梳理，归纳有效的服务提升路径。[研究设计/方法]综合运用BPM方法与案例研究法，通过对该大学图书馆业务部门负责人进行半结构化访谈获取研究数据，分析数据库荐购、文献计量、机构知识库、教学培训、参考咨询、查收查引和科技查新的业务流程，并绘制复杂流程的泳道图。通过PPMS方法，从资金维度、人力维度、用户维度、社会维度和创新维度对数字学术服务的业务流程进行了分析评估。[结论/发现]该大学图书馆的数字学术服务存在业务较分散、部分业务环节重复、以“馆藏驱动”为核心动力、以及新兴信息技术引入较为有限的问题。未来可通过架构顶层设计、识别用户需求、设计服务框架、融入服务流程、完善运营评估机制五方面的路径，对数字学术服务的业务流程进行优化提升，改善服务质量。[创新/价值]创新性地使用BPM方法对我国高校图书馆数字学术服务的业务流程进行了深度解析，提出了高校图书馆数字学术服务业务优化路径，对于我国高校图书馆在未来开展和改进本馆的数字学术服务业务具有一定的指导和借鉴意义。      
480   Journal Article                                      陈熙;王涵笑;                                                                                                                     复旦大学中华古籍保护研究院;                                                    楼台海上：郁松年与宜稼堂藏书              图书馆杂志                                                                              郁松年;宜稼堂;私家藏书;沙船商                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   郁松年在先世经营沙船业积累殷实的家财后，不遗余力购书、藏书。顶峰之时，汇聚了全国私家藏书之精华，总计数十万卷，并手自校雠，刻成《宜稼堂丛书》，成为咸同年间首屈一指的藏书大家。太平天国兵燹造成江南私家藏书大量散出，郁松年承接了江南各家散出藏书，保护了诸多珍贵的古籍，亦进一步实现了郁氏家族向“儒商”角色转变的需求。郁氏藏书既沿袭了前人“好古求宋”的藏书观念，又受到“经世致用”思想的影响，所藏之书，既有宋元珍本，亦有大批实用书籍，还有不少西方自然科学相关书籍，带上了明显的时代烙印。郁氏乐善好施、惜才重教，不仅乐于出借、刊刻流通，且将藏书投入于当地教育之中。郁松年身后，其藏书又成就了陆心源、丁日昌等藏书大家。尽管郁氏宜稼堂藏书持续时间不长，但却在清咸同年间江南的私家藏书传承中发挥了承上启下的关键作用。      
481   Journal Article                                  陈小莉;马娜;王学昭;                                                                                                               中国科学院文献情报中心;中国科学院大学;                                        我国企业发表学术论文的合作特征及对技术创新的影响分析                软科学                                                                      知识转移;企业;学术论文;基础研究;合作模式分类                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    分析2012-2021年工程、农业、能源、环境和医药5个领域464家我国企业在中国科学引文数据库（Chinese Science Citation Database，CSCD）发表的45486篇中文论文的合作特征。对企业合作模式提出的三级分类体系，并提出知识转移视角的企业基础研究成效评价方法，对企业发表论文的不同合作模式的知识转移成效做比较分析。研究表明：我国企业发表于工程和能源领域的知识转移成效优于发表于农业、医药和环境领域的论文；企业独立研究的知识转移成效优于企业以产学、产官和产官学合作研究形式的论文；企业与高校合作发表的知识转移成效优于与科研院所合作的论文，且企业以二元合作形式参与基础研究的知识转移成效优于多元合作的形式。      
482   Journal Article                         吴建华;廖海如;张小雅;陈雅楠;肖龙翔;                                                                                                                      华中师范大学信息管理学院;                                   图书馆学（师范）专业：我国中小学图书馆馆员队伍专业化的理想路径            中国图书馆学报                                                               图书馆学教育;图书馆学（师范）专业;中小学图书馆;馆员专业教育                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          随着我国经济社会发展水平的提高，各项事业都进入高质量发展阶段，基础教育面临着现代化转型，相应地，中小学图书馆建设也进入规范化、标准化、专业化阶段。近年来，我国中小学图书馆的硬件条件得到明显改善，但服务效能低下，造成这种现象的一个重要原因是馆员队伍专业化水平低。我国有22万余所中小学图书馆，不仅对学校图书馆员的需求数量巨大，而且要求馆员具备统筹全局的能力和扎实的中小学教育教学知识基础。然而，现有图书馆学教育不能满足中小学图书馆对专业化馆员的需求。本文从专业教育的角度考察中小学图书馆的人才供给问题，为中小学图书馆寻找一条理想的馆员队伍专业化路径。研究发现，发达国家普遍开展学校图书馆专业教育，并且对学校图书馆员实行“教师”“馆员”双重专业资格准入制度。本文在总结国外经验的基础上，借鉴我国在师范院校开展学校图书馆专业人才培养的历史经验，建议借助我国公费师范教育政策，设置图书馆学（师范）专业。具体思路是：①设置图书馆学（师范）专业，建立与基础教育相适应的人才培养体系；②开办“图书馆学（师范）”+ 双学位班；③利用慕课实施大规模在职馆员继续教育。这有利于培养学校图书馆需要的专业化、复合型馆员，是符合我国国情、具有中国特色的图书馆学专业人才培养路径。表3。参考文献56。      
483   Journal Article                               卢颖;朱雯晶;郭利敏;张磊;                                                                                                                       上海图书馆系统网络中心;                                        去中心化身份（DID）与元宇宙时代的读者统一认证服务              图书馆建设                                                                        去中心化身份;认证;DID;元宇宙;读者认证                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     随着Web3.0基础设施的不断完善，区块链技术得到了更广泛的应用，基于区块链的去中心化身份认证技术DID应运而生。DID具有用户自管、安全保密、一证通行和支持零知识证明等优异特性，是未来元宇宙中身份认证的主要形式。但当前，图书馆读者认证服务存在安全性不高、繁琐的认证过程、缺乏统一标准、难以跨平台使用等问题，需要借助DID来解决，以提升读者统一认证效能，推进元宇宙时代的读者统一认证。而DID在图书馆的应用落地需要多方面的推动和支持，包括DID相关知识的宣传普及、技术研发、演示应用、合作伙伴等方面。在DID技术的不断发展和普及下，图书馆服务将会更加便利、高效、人性化。      
484   Journal Article                          杨向宏;梁海月;祖浣毓;谢璋庆;姜枫;                                                                                                                     广西中医药大学附属瑞康医院;                                     基于“CiteSpace +”的苗医药学发展现状分析及思考    云南民族大学学报(自然科学版)                                                                   苗医药;文献计量学;CiteSpace;研究发展;建议                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              目的 采用“CiteSpace+”的方法检索分析文献资料，分析苗医药学发展现状，并提出发展建议.方法 常规检索中国知网、万方数据知识服务平台、维普中文期刊服务平台、中国生物医学文献服务系统等数据库，同时检索读秀知识库、超星电子图书平台、中国国家图书馆、贵州省图书馆、云南省图书馆及广西壮族自治区图书馆，时间限制为自建库起至2022年4月30日；使用CiteSpace5.8.r3软件对发文作者、发文机构、关键词进行聚类分析，使用GraphPad Prism 9软件对年发文量、发文期刊进行统计分析，同时提取第一作者和/或      
485   Journal Article                                       张靖;尚洁;                                                                                                                                                                               文化志愿服务专业化与“文化志愿研习”教学改革              图书馆建设                                                                  实践育人;实践教学改革;文化志愿服务;服务研习;中山大学                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    进入21世纪以来，实践育人日益受到重视。与具体的实践领域联系紧密是信息资源管理、图书馆学的重要学科特点，但相对于以社会主义文化强国建设伟大实践为基础建构中国自主的文献与文化遗产保护和国家文化治理知识体系的迫切需要，实践育人在相关学科专业人才培养方面的贡献明显不足。针对相关学科专业实践育人存在的问题，抓住文化志愿服务专业化发展的时代背景，发挥文化志愿服务的实践育人功能，中山大学图书馆学团队进行了“文化志愿研习”教学改革，并形成了全新的教育教学成果——“扎根文化强国建设重大历史现场，构建‘文化志愿研习’实践育人新模式”。这一成果通过扎根一个现场、把准两大抓手、建设三大平台、实施四阶任务和完善五项机制，构建了“文化志愿研习”实践育人新模式。这一实践育人模式厘清了学科专业的实践育人逻辑、重塑了学科专业的实践育人体系、升级了学科专业的实践育人平台，让学生投身社会主义文化强国建设，知道为何而学、所学为何，践行学以致用、知行合一。      
486   Journal Article                   许丽丽;李舒悦;王丽曼;陈艳;戴梦飞;徐航;葛卫红;                                                                                                 中国药科大学南京鼓楼医院药学部;中国药科大学基础医学与临床药学学院;                                          基于文献计量学和可视化技术的抗栓治疗危险因素分析               医药导报                                                                          抗栓治疗;危险因素;计量分析;可视化技术                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  目的 分析国内外抗栓治疗（抗血小板治疗和抗凝治疗，即抗栓的药物治疗）危险因素的现状和特点，为防治抗栓治疗引起的血栓或出血提供理论依据。方法 检索2011年1月至2021年11月期间发表在中文数据库（中国期刊全文数据、万方数据库、维普数据库）以及英文数据库（PubMed、Webofscience、MEDLINE）有关抗栓治疗危险因素的相关文献，进行文献计量学分析并使用VOSviewer软件进行可视化分析。结果 共纳入595篇文献，英文文献发表量前三的国家分别为美国、中国和日本。研究类型以队列研究为主，样本数量大多在1000以内。抗栓治疗危险因素分为影响抗血小板药物、华法林以及新型口服抗凝药治疗的危险因素。年龄、性别、肾功能、抗栓药物的联用等是共同的危险因素，不同的抗栓药物的危险因素也有其自身特点。结论 国内外抗栓治疗危险因素的研究数量较多但样本量有待提高。药师应基于不同药物和不同人群进行个体化用药服务，保障患者的用药安全。      
487   Journal Article                                          安波;                                                                                                                 中国社会科学院民族学与人类学研究所;                                                  基于提示学习的小样本文献分类方法              图书馆论坛                                                                       小样本学习;提示学习;文献分类;预训练语言模型                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              文章研究学术文献分类中的长尾现象和新分类问题，提出基于提示学习的小样本文献分类方法，旨在实现低资源场景下的文献自动分类。借助大规模预训练语言模型的文本表示与生成能力，在提示学习框架下分析不同的提示模板、文献字段、文献类别表示、样本数等信息对低资源文献分类的影响。实验结果表明：通过合理的设计提示模板、文献类别表示、文献字段等信息，模型能高效实现低资源场景下的文献分类（50-shot的分类F1值约85%），是传统文献分类算法的重要补充；但在处理细粒度文献分类时存在分类错误问题，需要完善。      
488   Journal Article               李华洋;邓金根;谭强;陈家傲;董保宏;朱施杰;严科;白炜政;                                                               中国石油大学(北京)石油工程学院;中国石油大学(华东)储运与建筑工程学院;岩土力学与工程国家重点实验室(中国科学院武汉岩土力学研究所);                                          基于知识图谱的中国碳捕集、利用与封存领域研究历程           中国电机工程学报                                                           碳捕集、利用与封存(CCUS);文献计量;大数据;统计分析;现状和趋势                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        碳捕集、利用与封存技术是目前国际上应对气候变化的重要手段，对实现碳减排目标、促进可持续发展具有重要意义。该文首先回顾梳理了我国有关CCUS政策的发展历程，然后通过文献计量和科学知识图谱相结合的方法，基于中国知网数据库中2000年至2022年CCUS领域的研究文献(期刊论文和专利)，利用VOSviewer和Excel软件统计分析论文的年度发文趋势、载文期刊、资助基金、研究机构、发文作者和研究热点以及专利的年度公开数量、主题及学科分布和发明人，并以二氧化碳吸收剂和二氧化碳驱油技术为例深入分析了CCUS流程中的若干重点技术的发展进程和趋势。最后，针对现阶段CCUS研究存在的问题提出了一定的建议。      
489   Journal Article                             蔡招聘;管观文;陈佑甲;金志刚;                                                                                                                      浙江师范大学生命科学学院;                                         2003—2022年我国结直肠癌研究的文献计量分析    浙江师范大学学报(自然科学版)                                                              Citespace;CNKI;结直肠癌;肠道微生物;文献计量分析                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            结直肠癌在肿瘤疾病中发病率高,如今已经成为严重影响人类健康的主要疾病之一.深入了解结直肠癌的致病机制,有望对结直肠癌的预防与治疗提供有效的策略.借助文献计量分析软件Citespace,探究了我国结直肠癌的研究进展、研究热点和发展趋势.在中国知网(China National Knowledge Infrastructure,CNKI)数据库中获取2003—2022年收录的结直肠癌相关论文共75 549篇.结果显示:结直肠癌从2003年开始研究热度不断上升,但发文作者之间缺少交流合作,发文的机构主要是高校的附属医院,机构之间的合作不够紧密;研究热点由最初的临床症状观察转变到近年来的手术介入和临床试验探索;目前我国在结直肠癌的预防和筛查方面进展显著,包括将肠道微生物作为筛查标志物等.研究有助于相关科研人员了解我国结直肠癌领域的研究现状,把控结直肠癌研究的热点变化,并为其制定相关科研方案提供一定的理论参考.      
490   Journal Article                              陈新军;刘曾勤;陈刚;赵石虎;                                                                              页岩油气富集机理与高效开发全国重点实验室;中国石化页岩油气勘探开发重点实验室;中国石化石油勘探开发研究院;                                           全球煤炭地下气化发展态势及展望——基于专利分析           中国国土资源经济                                                                           煤炭地下气化;专利分析;发展态势;展望                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   文章采用合享（Incopat）全球专利数据库商业专利检索系统对煤炭地下气化（UCG）领域的专利技术进行检索，以此探究全球UCG发展态势。研究显示：从对全球UCG专利申请数量、申请趋势、布局地区、主要专利申请人的分析来看，目前UCG产业正处于高速发展阶段。自2001年以来，UCG专业领域的专利逐年上升，尤其是在2013年以后，UCG技术领域的专利申请量进入快速增长的阶段，申请的专利囊括了整个UCG的产业链，专利技术功效也主要集中于经济、高效、灵活可控、安全、稳定运行等方面。本轮UCG产业的发展主要得益于我国相关技术的快速发展，我国UCG专利申请量从2013年开始进入飞速增长的阶段。总体来说，随着石油工程类高精尖技术应用，深层煤炭地下气化体现出强大的活力和经济优势。      
491   Journal Article                                         陈麒如;                                                                                                                   佛山科学技术学院人文与教育学院;                                                     明代佛山四会元科举文献辑考              图书馆论坛                                                                         广东佛山;会元;梁储;伦文叙;伦以训;霍韬                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      明代广东地区共产生梁储、伦文叙、伦以训、霍韬等4位会元，均来自佛山南海。四会元的科举文献散存于各类典籍，经考证，现存确信可考的佛山四会元科举文献有：梁储制义2篇、考试录序言3篇、考试官批语82条；伦文叙制义6篇、殿试策1篇、考试录序言1篇、考试官批语28条；伦以训制义3篇、殿试策1篇、考试录序言1篇、考试官批语30条；霍韬制义3篇、考试录序言1篇、考试官批语20条。这些文献是研究四会元学术思想、岭南科举文化以及明代制义发展史的重要史料。      
492   Journal Article                                       何依;司莉;                                                                                                                        武汉大学信息管理学院;                                                  国内外科学数据治理研究的比较分析               情报科学                                                                    科学数据治理;治理模型;治理策略;治理伦理;比较分析                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [目的/意义]科学数据治理是促进科学数据开放、激发数据价值的有效手段，梳理与总结国内外相关研究，有助于发掘新的研究点，为科学数据治理研究与实践奠定理论基础。[方法/过程]采用系统性综述方法对科学数据治理研究进行梳理，全面呈现当前研究现状，并对比国内外研究主题的异同。[结果/结论]研究发现国内外都关注科学数据治理策略和模型的研究。国内强调图书馆参与的重要性，关注临床科学数据治理平台开发、高校和科研机构科学数据治理模型构建；国外则聚焦于《通用数据保护条例》对科学数据治理的影响、利益相关者视角的治理挑战、科学数据治理伦理、生物医学机构的治理模型、治理技术和实践研究。[创新/局限]对比分析了国内外相关研究，未来可从研究手段、应用领域、体制机制、协同治理等维度提高科学数据治理研究。      
